page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
543851,4506410,82603,1251151,122,
274233,4325739,764501,1161526,0,
1677368,5276249,613695,755996,1,
2945911,4009217,767797,1254014,0,
2261356,4358610,1134439,1520916,0,
2687408,5709852,255569,1220529,15,
2572774,2722710,387656,848163,0,
5406290,5419866,511993,1494301,0,
4905024,5077846,562734,665821,0,
727114,1564235,149539,1363800,2,
160578,1248717,865872,1026138,0,
761036,5281021,989153,1542605,0,
1898235,3257049,19326,1019649,311,
4415946,6322749,1012555,1066151,0,
2152033,6047446,18134,1042965,2252,
4731308,6152528,679463,1310511,1,
3457747,3800860,1299749,1327624,0,
554752,865684,203599,1211898,0,
2542195,3668009,864310,1193942,0,
1200907,1730062,282887,1013232,1,
1794757,2822602,31197,546286,166,
3349223,4114026,345142,1418924,0,
2392578,2488016,922125,1259271,0,
4297267,6266752,3555,99278,30184,
4122510,4387260,97946,1127017,5,
1878507,1991818,131772,1268418,0,
1806390,6170803,91539,571336,279,
4655097,6022971,993325,1464986,0,
1258430,4574837,642365,1269267,0,
289347,6371442,396667,1097535,9,
3907362,4661992,248022,1097684,2,
2536813,6150314,85937,162376,201,
257429,3751735,812932,1518541,0,
2903596,3176857,633652,1215638,0,
2964482,6382365,348500,731300,7,
2255561,6389451,564403,578821,0,
2355942,3481147,651168,1311091,0,
3110248,5967563,1186247,1413355,0,
4355209,6089667,139627,476204,49,
4303776,5155581,495879,1391420,1,
4134748,4746385,611673,1052785,0,
960201,4983810,805561,1400555,0,
957499,4046601,102653,1187047,62,
2293907,2437244,25593,187004,101,
46007,6287643,103224,853884,240,
1325757,2828022,478667,1239289,1,
5905799,6300543,43059,1518130,282,
1630324,3105722,522519,1265870,1,
648460,6081384,1197978,1454457,0,
1741189,6301136,915938,1216750,0,
335716,1170898,462802,1312538,0,
4881068,5620817,501088,735631,0,
2964731,6389592,429151,590915,4,
3240400,4989432,92312,829963,76,
964065,5138519,673888,775893,0,
45788,2718558,1257982,1485068,0,
1087681,6053353,55326,552609,554,
2485011,4555590,1167244,1298831,0,
2373398,4955973,775132,841663,0,
2260997,6293166,614205,896915,2,
5539180,5945660,1050942,1332765,0,
1443195,2599788,61458,728485,88,
3422625,5477352,750110,1322925,0,
597083,2993952,58734,668068,128,
470403,2385148,1351924,1563270,0,
4488584,5102244,1146399,1189942,0,
5071634,6010968,395791,1139217,5,
1784205,3382040,444537,1541522,1,
149607,855525,814483,1502371,0,
874586,4894833,535934,705703,2,
426876,1375377,179643,938451,3,
1799847,2696624,1345466,1544282,0,
545551,957085,397497,1242885,0,
1846241,2720021,1230161,1535719,0,
545084,2004613,1116793,1194530,0,
3082040,5574364,365011,974606,3,
1610935,6075897,500519,1348957,4,
4429267,4911708,84895,698844,55,
501262,4489626,7670,1487926,2319,
2715574,5135463,640564,884597,1,
2465777,5095355,1097398,1474012,0,
3568365,4058601,448261,1386837,0,
4354388,5330424,134531,928807,22,
923577,4579557,560080,1325178,0,
3173055,4853832,225070,899308,5,
3982823,4057143,100451,858509,0,
3158264,4774089,940818,1207405,0,
2141493,2711441,901402,1047789,0,
246296,4546802,1609,273471,20145,
1019016,2917849,37162,560426,219,
107710,4957755,1033625,1133007,0,
820969,4932070,174412,1450646,11,
2144174,4536944,161688,1323053,9,
4230337,4908461,540233,599494,0,
140418,2193196,499681,501424,0,
643231,4881900,1185056,1472169,0,
2960059,5243172,240644,1344314,9,
4718429,5830284,171094,1499581,29,
2719066,4237976,322012,622235,0,
2982913,4505480,79171,1136651,53,
5633615,6071546,980469,1541964,0,
1909448,5749160,410551,945801,5,
737066,5480264,320825,658064,4,
2032812,3325644,729142,1235226,0,
5566557,6048963,1344831,1390325,0,
2599811,3391604,416996,1297470,0,
5789589,6121280,155526,408053,9,
5067233,5817011,43518,215030,179,
3136461,3602775,322677,910181,0,
3859158,4555239,293335,1310023,1,
4990807,6065502,416704,470929,0,
3437729,5893004,1426165,1513096,0,
593648,3371876,26309,585505,405,
3164713,4259123,962669,1560577,0,
754032,2492089,817666,1012031,0,
3991363,5194265,248812,1365353,7,
3519126,4436409,667228,820182,0,
3759289,5058719,140396,1253782,19,
1352886,4896071,149859,378671,14,
1695524,4205343,1221715,1347010,0,
2503251,4374525,31503,1468483,171,
750926,1258701,529330,919504,0,
2113416,5972080,469268,1405055,7,
2176762,3786577,606457,1237178,0,
3503936,4248800,1062092,1271045,0,
2010566,2314282,505164,1201978,0,
1216044,5897376,781996,1410352,1,
3539964,5731387,203881,1301087,23,
1305510,1636552,383409,438908,0,
459091,4437257,313475,1142271,2,
2353615,5308589,248719,886310,9,
44265,281105,719310,873893,0,
4200609,5847345,40025,1200802,474,
499590,1951156,153389,1041424,3,
2178486,4443699,146675,780262,10,
337581,1463941,141865,601804,5,
3158483,4174896,239350,658481,0,
2776249,4434856,194972,1328666,1,
1473380,5785230,107219,162920,80,
2112484,2277293,1041118,1135251,0,
5824078,5943721,567440,1318450,0,
482821,552726,299889,601912,0,
3090655,3605291,835674,1243539,0,
1181508,1755453,235270,552038,1,
3335889,3492879,1223072,1438950,0,
2061166,5650367,9082,279446,3338,
3530576,4230720,566077,955841,0,
1494908,3146321,83326,147911,66,
3145998,5845930,69975,657533,270,
1380867,4431124,687573,1486382,0,
1633689,2745410,708317,833070,0,
4714504,5306515,781179,868868,0,
161080,3329572,867842,1547180,0,
1995894,2909214,1164986,1304604,0,
1559502,2041014,107832,1269938,1,
5087038,5427977,82543,638003,38,
3429041,5354143,381007,1009487,3,
879099,1633248,147959,891750,2,
1100591,2023366,173308,1473460,1,
1426703,5135109,66538,1278502,245,
5427973,5837486,829700,1045033,1,
698875,3795912,1303913,1401301,0,
290045,4723850,771326,952976,0,
3117615,3481139,104397,1031424,8,
1521089,6264133,527509,1068817,3,
1331386,3286015,597221,1298588,0,
1417350,5216131,430051,1442227,3,
2162742,3671878,507873,828618,1,
1767672,3632267,353137,484286,0,
423104,774053,1230408,1441354,0,
3514550,5999149,597953,1072991,2,
5312616,5475769,354885,1465320,0,
159848,3243036,555776,1198661,0,
144384,1386055,101300,187841,1,
1642867,5273978,219094,1049011,12,
3158728,3761338,553706,1499655,0,
2691145,3709696,1210947,1486589,0,
452088,1724845,262119,1521690,2,
3567753,5403984,370794,1321155,3,
3563947,6225783,284793,1472874,13,
866725,1336489,1035721,1413876,0,
5511618,6166660,166218,919010,23,
889516,2108755,609602,756715,0,
445879,766442,478730,1317550,0,
112941,3124991,987179,1281943,0,
1198279,5170639,132126,1096457,30,
1897557,3106459,592357,1107619,0,
446629,4899030,86049,436025,151,
1453705,6121861,330200,374512,0,
5875855,6226802,591718,1266584,0,
4365240,6386441,54745,1431362,639,
2211797,2703486,358262,1547103,1,
1011650,1304997,14543,1119972,97,
4000949,4491899,44836,616436,61,
672668,6163374,419032,591308,5,
3459972,5369967,384998,1540012,3,
312132,6088754,581088,1051743,2,
3720617,5187832,87328,785489,83,
5223969,6290427,269630,1486257,10,
3863622,5130744,461852,1433953,2,
3432291,3494298,812474,852638,0,
2030199,6307627,443536,520032,4,
456325,1395698,708278,1242520,0,
5352102,6131183,228606,826020,11,
1517528,5033660,1022228,1264861,0,
3370441,3517468,1001434,1116179,0,
133002,5608083,924136,1141477,0,
1995856,6250747,924608,1353705,0,
1288431,4931945,491256,1531726,2,
5422713,5601075,467900,1077808,0,
530280,1725239,925670,1007094,0,
388805,623208,359379,645175,0,
5687617,6288165,493102,1045572,2,
851636,3575047,846686,1365072,0,
3798355,4568426,330269,1284768,1,
4308654,5087604,581555,1318808,1,
499666,5856951,604378,1394119,2,
151634,4456081,985070,1316351,0,
714559,4059127,367502,394572,0,
514207,3150925,618338,1351391,0,
2596138,3108985,244126,511223,0,
97335,2798559,1416945,1538604,0,
3523827,5156242,430818,882056,2,
467040,1045694,1139997,1350371,0,
5010004,5898685,319301,763974,4,
1021531,4135447,711148,1396619,0,
2335824,2941987,450153,1197481,1,
1052588,3708937,1135993,1547937,0,
2711256,5455474,914961,1271934,0,
3761316,6128856,776294,883743,1,
1693053,2710558,852643,1386693,0,
1025791,3927294,1267127,1458555,0,
1334058,4922785,75212,709692,183,
2122214,5245419,152604,1412171,25,
3187721,5423178,20910,641940,941,
1396416,3212356,886697,1393590,0,
855551,2371275,117075,942474,8,
2835848,2912046,476532,587533,0,
1036796,5546331,576667,1357079,1,
2162605,3909567,29612,709801,258,
1211737,1542914,420990,477750,0,
939062,3391865,474250,1054422,1,
1538492,4338530,357554,874683,1,
65918,2603133,416055,1108079,1,
1753522,1937566,244827,1361667,0,
5017580,5363832,732206,1503476,0,
2150456,5740586,723810,929062,0,
4284831,6235822,370919,522848,6,
2397537,2446138,382288,1372404,0,
2109861,6121196,1008531,1486327,0,
1609629,5967480,946459,1115131,0,
346351,1816399,520653,1376466,0,
4273151,6368616,159701,828780,63,
2821193,4790157,492404,837466,0,
2455273,3224836,350535,902416,1,
1958216,2496713,439376,1219955,0,
2171157,5665694,536185,1531108,2,
2696161,4436295,546724,1413575,0,
1216197,4634925,265770,1388436,3,
1553947,4717690,612382,939102,0,
491507,6098929,709432,1487155,1,
52066,5091116,590361,1070335,1,
1218038,3954451,284701,1175167,2,
4581424,6156701,46129,849921,451,
1887693,3418916,522253,743187,1,
435249,1539316,326282,534149,1,
4796194,6356926,1139186,1566534,0,
4495545,5509896,194143,596503,14,
1162970,1893054,535469,563270,0,
783015,1185408,1005356,1007458,0,
3210431,3353348,937326,1522956,0,
4247709,6275387,1139423,1346698,0,
5694408,6265518,264267,624612,3,
42421,635304,190490,852680,2,
2372948,5197561,133110,1169542,29,
1114034,4267059,776275,1351051,0,
3278013,3497659,604985,986181,0,
2808957,3497913,2798,732871,1475,
1356801,1376978,1118766,1126295,0,
788926,1987027,1159232,1418127,0,
1960730,4838163,305827,1131394,4,
892447,6186367,476514,1091595,7,
3016189,3695199,439982,774924,0,
1615106,5355875,606175,1546306,1,
2355874,2880252,84788,1066800,12,
249339,2189396,11007,936448,506,
953068,2950423,142292,221602,1,
1808494,1919264,348184,656052,0,
409602,3422124,774855,1009976,0,
1215748,2844797,436992,1145231,1,
2856281,3904119,605982,1007086,0,
2073788,4619255,406043,1245944,2,
2357419,4209800,246306,1211313,1,
768906,2630309,499091,1047944,1,
4840602,5075517,1169013,1556956,0,
4849892,5205552,481988,1208091,0,
721976,5170044,373602,1527788,4,
1511389,3311406,191519,1508707,1,
2883092,4359626,761245,1286024,0,
1090135,2771623,171321,244800,0,
214150,2052891,471422,1187511,0,
275231,4481226,579506,674523,0,
1356053,3904284,66131,1455975,125,
3828277,4958071,80603,848411,73,
3826388,5151083,169352,1206213,13,
919495,6248099,1046702,1312628,0,
1201464,3990844,131818,377754,9,
1601429,1910062,405807,439914,0,
1894180,5368637,68577,1074117,257,
2315571,2527344,1421163,1524689,0,
2629431,3975029,191824,397265,0,
3748041,5853579,254629,1491216,18,
4680340,6400206,733226,1216604,1,
1148073,2100397,210815,298067,0,
1890355,4735616,738029,1446304,0,
585826,5240034,379133,728423,4,
533381,3135643,589453,659921,0,
2970416,4594390,179273,939319,5,
2720205,6167361,313554,427746,2,
4463676,6029824,80843,1511785,212,
5995958,6193803,598681,901392,0,
1247843,1406328,422510,1119019,0,
2077069,3903021,31096,269301,242,
5465754,5821691,741164,1005369,1,
312235,1144056,340453,1136639,0,
705781,1661484,49413,572274,53,
3288705,3803915,84923,161542,12,
613347,1670819,129563,1223966,4,
5992602,6127402,234700,916339,0,
3985788,4599809,524653,1364057,0,
5207132,6378790,740256,1134327,1,
2229990,2711358,222420,544585,0,
901042,1510410,925329,1379299,0,
2929508,5572001,635827,1266883,1,
2991259,4246344,726432,1295132,0,
236635,3299501,372010,803338,1,
1069016,2132259,296706,627779,1,
669432,3671072,941243,1008009,0,
2125478,4291941,595075,1208794,0,
3310797,4969060,129152,1430199,22,
62225,5004500,157474,301553,18,
3328032,5136477,311635,1517373,3,
2221743,2623746,11642,89609,186,
2686145,3497512,242394,1525193,0,
698637,4677285,599049,599172,0,
4884354,5126946,677376,766949,0,
1615955,4877691,652355,1197320,1,
4609686,5503725,419553,1204726,1,
1494839,5933099,721916,1303860,1,
277761,5620196,571266,1237913,1,
61628,4163041,653891,1384579,0,
762815,2647845,448450,1295936,1,
5249149,5264072,374728,1386311,0,
75025,4652206,357872,433242,1,
598545,6340655,1147638,1519003,0,
2214031,6188213,209500,1047221,30,
232562,3987873,698605,1047288,0,
400313,1599182,1262474,1300710,0,
5447138,5969714,446095,1281472,4,
862640,4292115,690803,814578,0,
865359,3793866,1339079,1441184,0,
892601,6396957,170432,1462887,67,
269956,960068,406567,1215454,0,
5229424,5958228,1043368,1496027,0,
928292,3516366,597088,1329329,0,
170055,1976207,365297,488534,0,
5862859,6101027,1343061,1518949,0,
1691202,2550711,379142,860214,1,
1230783,2465385,1440787,1463818,0,
3507861,6208662,1217700,1443375,0,
1535742,5029497,818573,1239513,0,
628786,6230052,342636,695388,9,
2358228,4722495,1107173,1206020,0,
899460,4206458,314986,476927,1,
1884802,5582917,158657,1481500,34,
1050758,1086810,816466,816500,0,
2492431,3335332,337368,1431629,1,
246846,5162242,1064849,1526414,0,
2425266,4868909,260403,640885,3,
581093,827690,1207965,1303791,0,
525354,5398460,635103,786153,1,
1425588,5659970,125171,129491,14,
153994,1208309,1230338,1556953,0,
1837220,4377020,378439,891538,1,
5680033,6228944,173574,913472,15,
64905,2073140,398512,652886,0,
3268538,5139321,492201,514332,0,
1378832,4878295,273205,376080,0,
3037200,3561855,690259,1331434,0,
426769,5013068,224190,1007104,10,
968634,3953393,184301,1373148,3,
2732115,3199293,458299,568116,0,
1585086,4538068,245330,1219484,3,
752560,5412268,36693,163483,667,
91491,2596440,20913,1176095,414,
1704241,6396993,843111,1562325,1,
3055690,5409752,472219,517407,1,
517484,3322340,139258,456845,5,
5312120,6230461,549347,1009214,1,
3291312,5615864,1084177,1476206,0,
859034,2921799,1318927,1383768,0,
465015,4877802,352145,935561,5,
2447874,6359267,118566,1001271,148,
746738,3171744,1112162,1411064,0,
666157,5862021,384039,1319436,9,
1935374,6006535,6866,237000,7759,
1581227,5764599,435313,1097628,5,
3046805,4233240,72215,442230,36,
4105149,6135239,1239559,1258971,0,
4632306,5023844,298870,787175,2,
674492,1353926,1108169,1259087,0,
4250289,4618891,997686,1366116,0,
4414729,4879546,429662,1379612,2,
3266174,5642949,628077,1110839,1,
1554368,5363816,29267,1352690,850,
93455,1928653,660793,1470101,0,
1713968,6245365,50981,774494,714,
3444762,3837987,206261,481674,0,
3237730,5304555,381215,866213,3,
3380298,5190255,518186,1487069,1,
3687906,6296499,103132,513577,185,
576705,6189034,1365965,1527241,0,
2932713,4536575,936976,1514849,0,
1359420,3944083,656102,1302652,0,
1265233,3790582,34249,1131388,274,
3146448,6327009,613578,757042,1,
225954,4681283,835242,1298098,0,
1783369,4862547,172387,767413,10,
812553,4901286,1269409,1458458,0,
4944027,6122444,412399,960547,4,
393316,1591431,36683,971771,84,
173460,2539416,241631,1145867,5,
3048769,4392070,307157,1308877,0,
737327,5319159,306386,958840,5,
1027940,4041648,565159,628065,0,
603034,1023600,997345,1285578,0,
5229905,5280238,281226,805627,0,
306793,1341233,1403725,1408287,0,
5908313,6053009,1347806,1407377,0,
521915,1367735,859366,1377851,0,
4397493,5015478,641190,1365586,1,
1065831,4255041,1401304,1472936,0,
1811266,4534891,125637,376174,20,
2993468,5186444,291429,1297169,3,
3646281,4004594,200542,892233,0,
5045137,5128046,1109945,1443431,0,
2968438,5366360,1043800,1286171,0,
867271,2739651,485455,982068,1,
2494974,5443960,991660,1401467,0,
921337,934804,330247,877323,0,
593574,2117118,726773,1328805,0,
1766870,4255077,724798,1445201,0,
320385,741566,828561,991962,0,
3825982,5321716,1255090,1343892,0,
850877,1606122,1163885,1203263,0,
123913,5798754,419748,531307,3,
1003751,5392637,287233,731371,6,
486447,3724908,1099508,1399407,0,
1510441,2792879,818456,864075,0,
4407811,6084183,38970,953358,586,
1913312,2448416,787332,948801,0,
2114066,3321825,186690,1338689,1,
3798409,3932170,872728,1563901,0,
4086371,5389681,239330,1290188,10,
287144,1056393,229300,314372,3,
1252336,1253072,881017,1143982,0,
1600647,4250242,1189672,1523230,0,
504993,4317008,148376,922871,9,
361940,6193939,1016531,1197055,0,
130144,5092135,450677,849738,3,
3732559,4747008,430014,981672,1,
1512062,3776298,248878,1283432,1,
3209078,3534118,1229736,1277855,0,
3296548,4569458,460477,618546,1,
1110056,4082594,482198,1039187,1,
1745910,2958395,908568,1175775,0,
95184,3940471,101791,208353,66,
314382,2873963,215402,1106984,5,
4152437,4664838,191478,194000,1,
2785673,3968610,792297,1031417,0,
3144895,3654459,868045,1274406,0,
2706990,5103295,251768,456495,3,
590537,5093270,122427,816320,47,
2329468,6070057,607506,1025121,2,
1487132,1639632,723083,1525989,0,
254941,5499191,413256,698594,3,
3246872,3906637,1096953,1141649,0,
1543158,1604179,400962,1235376,0,
2915750,2955309,311094,732127,0,
5147853,5468591,357003,880694,0,
1290772,2815153,219186,565979,1,
3615907,4683741,62119,1362935,89,
3542174,4341965,745608,885825,0,
2813370,3803293,82864,1170979,23,
4547699,4989032,69320,928304,59,
1726564,6139692,7230,251036,8802,
771523,5039119,719388,1380243,0,
679095,5726828,420248,1235842,5,
4829718,4935636,114067,1235087,1,
1830410,4744514,735888,1117525,0,
543444,4816271,304001,1543603,4,
2290356,4312432,861501,1438223,0,
163427,2255714,345328,1209337,1,
1465285,5651835,624253,715039,1,
2900953,3211742,656714,735824,0,
3813254,4091751,383145,1220468,0,
4220958,5481223,572717,661938,1,
1240609,2309006,453919,662271,0,
5359488,5476528,54543,1094746,20,
842518,5062618,456983,661164,3,
1102333,3261898,986126,1131895,0,
1681838,5008832,1109499,1292615,0,
74248,5849134,95746,1072767,237,
2996014,6045352,475125,1234821,6,
1091498,4397731,214482,746978,3,
1390047,1864850,1334996,1551826,0,
1336231,6033318,79054,1138529,330,
1148325,3435492,264277,1519674,2,
3070480,4341029,20811,1037030,230,
3563225,4312759,214081,1087633,0,
4148852,4643392,669751,1164564,0,
2731167,5299417,28527,124620,586,
2249405,2393605,619942,1086036,0,
3964467,4369587,57155,841958,13,
2461044,2841470,662789,1247375,0,
1193357,5283243,200023,1124737,13,
2404552,3262844,608839,793722,0,
2861723,5647920,116472,1308091,77,
2300437,3523340,569264,642017,0,
2899041,5577929,985142,1053638,0,
2699795,3885716,906175,1113258,0,
1600392,3377725,310965,1468552,1,
58128,1403164,758409,910693,0,
2491372,6212769,796363,1424346,1,
4209816,5426792,314182,350352,0,
4573249,5277698,960659,1397250,0,
1274997,3853544,1071572,1160585,0,
3392010,4170880,703230,767842,0,
1805592,6110311,441380,492947,1,
1754557,5109286,904617,1160244,0,
3836233,4089769,977247,1369258,0,
5708414,6127593,1110642,1221899,0,
1717471,2834274,720135,1415145,0,
4185023,4835297,574477,1305853,1,
2844614,3745973,374350,959348,0,
3751897,6084920,165109,859537,43,
5182071,5745968,258611,811773,9,
3741758,4207485,377594,1410554,0,
648136,5784519,465517,1187439,5,
932519,1938682,997378,1551765,0,
2147396,3364146,106574,1460663,22,
3124421,4734853,1206221,1253265,0,
228920,4799277,702735,936318,0,
5611362,6153138,141073,720812,24,
1771985,3180940,348471,1493885,1,
151984,1430000,815085,840930,0,
3517451,4488258,1221346,1538003,0,
979633,3591969,604860,638769,0,
628921,1244619,901196,1426557,0,
4923043,5414993,411322,558544,0,
3480932,6136515,993393,1069486,0,
3062900,6133940,1204067,1248966,0,
3626182,3654475,325530,1144728,0,
1046796,3051170,344253,1231015,2,
3357049,5202059,1069087,1559400,0,
2555137,2850470,105855,1216168,3,
5091510,6045561,545105,1426701,1,
1572226,5900836,56734,300275,460,
2053315,5962741,650050,1543948,2,
2899634,5184071,133245,1314562,27,
1301825,5680178,202662,290883,15,
643750,2161350,843186,1302668,0,
289085,2345032,108248,657417,19,
1841355,4952704,335728,1377059,4,
2745737,5870557,380026,621105,6,
2699774,2882306,174657,1094391,0,
3130926,4379057,153498,1340739,4,
4469046,5297238,141683,936221,18,
2635548,4105933,233685,610908,0,
2501289,3291283,212487,848060,1,
45821,5829470,749223,984183,1,
2367487,6083730,263175,924488,17,
118529,2602389,713093,803303,0,
2613833,3978031,45388,357878,75,
1974518,2131779,560452,1399128,0,
2405390,2947570,954698,1370002,0,
4274059,5666578,533407,1456877,1,
2076318,6294283,951926,960410,0,
901093,1406971,527793,1056113,0,
2283116,3290215,258961,1439086,1,
1810141,3840560,844292,1130896,0,
549082,5490398,250809,1215619,14,
1041653,1654751,973688,1262017,0,
2884701,3982480,397131,424035,0,
3574669,4728719,388552,1482946,2,
4787504,6314415,2306,1402613,52842,
2419217,4017856,486356,1550181,1,
3051090,4618580,1076897,1120867,0,
870509,2255057,348348,1514668,1,
4732136,5785049,54824,69103,52,
1743966,3342677,381240,859153,1,
2106718,5098513,250067,441678,4,
3661606,3829971,359210,1344833,0,
2530863,6310164,45374,942221,788,
445647,2258326,160623,225915,1,
2285794,2996956,185783,1059444,1,
1874330,2051854,124494,1233406,0,
1521737,3314038,796195,1156808,0,
131410,5240727,383715,988444,4,
237929,5310975,1025371,1078319,0,
1846436,4402268,1181377,1452400,0,
3646033,6055212,713959,1351353,1,
5502060,6187994,511874,1503210,2,
2186215,5548957,627505,947018,1,
2872136,6227269,1009227,1546524,0,
948677,1751079,89796,1331958,10,
1155345,3039081,824754,952340,0,
5111809,6206380,357480,1150509,5,
1516773,5823672,567734,1522451,2,
652453,4078760,431478,1282912,1,
1375312,5331365,829979,883316,0,
420508,851113,114850,976661,1,
1331606,5247408,619395,1336650,1,
3171977,5578474,901392,1187878,0,
4764262,4913076,731493,1383668,0,
2907629,3422926,452455,1152992,0,
2518890,5500256,343272,1507357,4,
3933234,6343700,634521,832612,1,
1481098,6384874,4513,1186784,30141,
600807,5467852,77538,436019,236,
1791149,3537565,5152,1042776,1697,
627451,3996122,59228,243180,169,
1658147,3598311,394102,930209,1,
784906,1228806,326416,328088,0,
1998552,5476861,399501,1033667,4,
1056010,3653779,397377,1307815,1,
1468739,1595999,271850,1385799,0,
1543579,2354775,940415,1268689,0,
5267138,5272712,968425,1051890,0,
3794553,5829692,570901,736257,1,
163897,4406471,313025,465913,1,
1297029,2513388,835358,1294290,0,
629817,5198003,833964,996384,0,
711778,837604,1055165,1096336,0,
4216631,6185093,892238,1539507,0,
3656136,3671119,68054,550133,0,
367433,4949977,570443,711272,1,
1075798,6150876,133302,1196016,84,
341195,5815040,430427,610240,4,
576500,4710922,59505,267842,247,
396935,1091912,1445276,1528118,0,
84065,3579558,881084,1032831,0,
531617,5261884,196273,497204,12,
1831681,4534608,603847,1112947,0,
4507537,5418204,302326,726081,2,
2074766,4394426,62454,520877,125,
2683255,4700342,587486,845812,0,
4804080,5267076,853600,854087,0,
2058265,5503003,72643,1352534,248,
2053763,3503375,376,409774,27862,
1086133,6261898,816951,1462370,1,
2960627,4285309,373958,485052,0,
2181259,2383881,1035306,1418849,0,
1743498,2407591,549165,592037,0,
499653,1095558,885615,1533391,0,
4691825,5503016,79778,575979,81,
476187,4403973,46725,1118071,260,
2293665,3469554,709671,1524190,0,
535219,5303795,965770,1335437,0,
1190634,4160324,297393,664823,2,
4846303,6162741,150887,1560163,44,
1583402,3168893,493365,526226,0,
2937598,3686050,1329472,1445637,0,
657192,3880561,28180,460461,445,
5549719,5825129,1128891,1438393,0,
3287499,5699838,64246,565467,252,
638571,901910,197290,871256,0,
1157266,3574069,1379059,1538847,0,
3986510,5392977,1001539,1419676,0,
3237266,4563820,1202677,1522471,0,
357060,4499698,1152276,1459854,0,
4942828,5693097,1463412,1551107,0,
3866330,5608586,1341764,1520321,0,
2038379,6242856,901691,1055991,0,
1309924,4618296,349062,750279,2,
1906130,3759392,1279582,1331359,0,
262804,5134463,179320,930158,17,
2073565,4353540,510117,832958,1,
5543517,5968489,418387,560109,3,
692583,2748002,206791,964990,3,
591918,5155199,272066,1442390,5,
2740430,4761379,477464,987276,1,
5817823,6350082,587957,1224541,0,
572096,5018578,456756,988865,3,
3779512,5464685,932662,1467261,0,
3061094,3503196,956521,1236694,0,
2150468,5479768,111526,864084,73,
4246890,4880562,277536,1457941,3,
2422847,5133031,439085,1340627,3,
1407318,4557058,930554,1019016,0,
1576235,3003580,53203,598293,109,
94918,2787155,325983,1252323,2,
2008711,4343288,596188,883622,0,
622198,1450406,467157,1003488,0,
1240686,3955536,329390,1116966,2,
1509447,6226634,1044259,1337606,0,
583436,5758975,953749,1061607,0,
5640105,6058879,655313,939883,1,
752929,3578721,26615,1566132,412,
1914244,4679072,11586,367465,1388,
2688564,6209522,1028840,1342435,0,
3963142,5111163,663829,1477861,0,
537779,1111622,273106,1544664,0,
851004,2688370,649908,1543750,0,
2401438,2567250,677672,1459043,0,
1014975,3836352,598787,1394124,0,
2728031,3133148,926566,962782,0,
3857705,5436782,286520,1555786,6,
901493,2062402,369350,552178,0,
2426372,5194025,817821,938206,0,
2119248,2954752,231685,991585,1,
2817072,5122883,1021158,1507508,0,
3373863,3853019,289268,483065,0,
1849319,4296769,81743,1286323,87,
948917,2470319,948366,1151599,0,
665757,4101507,387157,623583,1,
641376,3960189,638149,1438263,0,
5664108,6269627,70676,936632,163,
181530,1675864,445405,681241,0,
2470025,5199412,1042842,1238009,0,
1637291,5544902,33096,438935,739,
3443940,4313065,56548,981502,38,
4213744,6086930,100740,1541328,158,
101946,5427364,473270,912288,3,
4976384,6208089,639334,1522218,1,
2162846,5793244,980372,1073517,0,
2526929,5154381,59890,839130,204,
1409331,5120184,792939,1301886,0,
5310890,5930883,1131269,1516044,0,
728537,5015165,1019194,1039596,0,
2559751,4898908,159173,989892,14,
2706309,5635954,154021,1261271,41,
3314236,5404771,22955,798799,825,
324182,3727921,229468,1006285,5,
1242955,3255009,879387,1022686,0,
1562867,5946307,1044233,1485833,0,
1135685,6032048,917346,1221080,0,
709506,1217276,211814,1547547,1,
2676641,3064133,289070,726739,0,
2366531,5874124,279558,1320513,14,
1021694,4767960,704921,1344699,0,
3021305,3774938,1302879,1408817,0,
587334,1240138,12343,519062,145,
965779,3130572,441755,1075006,1,
2638314,3606124,569299,719056,0,
62707,1323155,126737,1016461,5,
2586707,5853181,489362,1248331,5,
2740543,3413465,654036,1427587,0,
651001,2794761,557349,699232,0,
1769885,5663251,1022650,1463542,0,
639874,4451079,758596,1020060,0,
602542,2322813,1096220,1320325,0,
1102151,5214785,159050,542858,21,
955806,5955971,1240303,1321516,0,
5908446,6215501,911105,1370313,0,
1646968,4474396,99104,703550,78,
4448061,5420026,338480,959956,2,
3647279,4284066,108879,959678,7,
2361733,5849496,195904,310169,19,
2468634,5104697,1203293,1262596,0,
3180943,5586243,399274,1153198,3,
403899,6370835,668258,1564982,1,
2753417,5477907,29533,203312,672,
3106228,5926929,990560,1446161,0,
4113596,5488468,918103,1071820,0,
972064,5700503,301798,991584,7,
2870279,5768388,340925,854526,5,
1840913,4140693,440715,1077887,1,
4147885,5215104,59371,1049416,150,
1865444,2352441,187682,980830,0,
2367449,4198460,494790,1204897,1,
5025180,6107728,785383,1148860,1,
1405274,2887353,418596,1316722,1,
2245468,4831104,157987,1291858,15,
2452633,2487595,726894,979238,0,
1715431,3302973,842160,1076459,0,
85575,1415034,201626,482401,4,
2339271,5369649,135563,606768,32,
3572753,5763876,975220,1539291,0,
1748585,6038519,160454,653465,48,
618433,3187062,20539,1114960,496,
4279500,5042195,989735,1467364,0,
2054760,4629777,640311,788973,0,
767207,2518025,1071517,1406686,0,
3668380,5352239,189642,1169888,16,
2289821,3449532,356923,442213,0,
1065598,2758613,1361316,1379238,0,
1670367,3329499,272582,760958,1,
1343449,5234018,702864,1373038,0,
