page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
417543,3804406,253898,1334721,3,
2201482,3426816,277554,598964,1,
4408190,4431898,472206,1556462,0,
1515439,5380533,205317,895172,14,
1271934,2372290,251094,511542,0,
2670608,5666896,830696,1391680,0,
4719016,6244232,552256,1234965,2,
1827304,3169846,649568,818956,0,
80315,2483070,1487845,1492244,0,
3670968,5183836,877588,945617,0,
918348,4108084,994984,995211,0,
1882912,4967334,96546,734569,119,
1501353,4291338,397763,458856,0,
682482,6336082,1163192,1222196,0,
1524774,1786668,276863,367763,0,
75442,5421256,213866,270513,14,
157002,6388279,123096,548278,156,
1060036,4508479,27205,626176,604,
4075752,5139911,471346,1226101,2,
2875542,5370364,52563,195330,262,
145840,5465686,209273,863906,23,
2629533,3757716,146742,154064,1,
1344916,3254219,687806,946202,0,
3975323,6242179,301436,1382262,8,
4428116,5351502,521191,787023,1,
1245579,3482560,907165,1437139,0,
3032547,5939375,472361,818285,5,
152531,3909519,248508,721116,5,
4046005,5892358,251223,771662,18,
2328894,5140131,159214,1103140,20,
257125,1734876,218173,844126,4,
2749513,5536914,1036962,1169803,0,
1565336,5478628,503169,562367,1,
242584,3623104,255151,308902,3,
1469391,3236173,228496,489758,0,
1615711,6138442,855223,1378114,1,
143927,1612735,937104,1234762,0,
3566357,4250870,694575,1181796,0,
3306551,3561094,571954,855810,0,
488711,1586360,1375904,1494337,0,
850352,6046281,768447,929134,1,
133901,2616260,102431,967932,42,
4610190,5588774,217991,1375301,17,
3785961,4381185,275683,911050,0,
387498,753593,324357,346889,0,
3717145,4791461,57533,919307,118,
2705816,3492331,685216,720356,0,
3503165,4745922,1024567,1146761,0,
2251373,5363740,677679,889158,0,
705331,1541919,521365,1025455,0,
4079152,6171736,1123532,1199919,0,
782907,2875734,563807,1140499,0,
2722122,4084838,726631,1156096,0,
2635573,5830844,740472,1114830,1,
1563132,5844451,156492,710353,48,
893917,3879575,909442,963732,0,
3818834,6176643,1204556,1493182,0,
1747778,3618940,468180,1438916,1,
2069573,2999167,670331,963280,0,
3449386,3691617,203799,1101421,0,
241925,6000470,739649,1531466,1,
3708465,5762633,47160,1397301,363,
2073145,5623874,79064,300229,232,
3167277,4944022,410,1316178,60803,
253619,1673919,609876,1422312,0,
3360916,4240974,377963,1356171,0,
1720596,5824441,666048,695010,0,
2899510,3578683,405473,513467,0,
56201,3953083,479706,488995,0,
1980651,4925741,929822,1544210,0,
1517174,6378460,86009,1484101,375,
1199771,3949636,284885,977882,2,
4369933,5620345,739478,1288120,0,
1942523,2738811,62070,206588,74,
1161720,1366414,257139,1490413,1,
1045140,2791386,911436,1248664,0,
2822477,4890124,1065778,1370497,0,
1804701,2964467,180290,808701,1,
1694371,3614046,434619,932326,1,
1016888,1375613,368993,1345901,0,
